TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,VOLATILITY
2011-02-28,412.80,424.19,407.00,410.45,226.78,30.87
2011-03-01,414.96,430.00,411.80,427.80,217.77,27.96
2011-03-03,426.98,444.46,426.01,438.63,276.76,29.48
2011-03-04,442.00,446.58,441.30,443.65,218.88,27.57
2011-03-07,440.80,440.80,430.18,434.63,139.53,35.71
2011-03-08,431.60,443.70,431.30,441.30,197.84,34.39
2011-03-09,442.00,447.74,439.00,441.21,199.51,34.14
2011-03-10,438.40,443.00,436.47,441.68,164.47,29.94
2011-03-11,436.41,443.40,435.00,437.27,143.61,31.7
2011-03-14,434.40,443.80,434.40,442.95,144.23,33.64
2011-03-15,434.00,441.54,426.00,436.93,299.65,35.65
2011-03-16,439.20,441.00,435.72,436.75,127.35,30.84
2011-03-17,434.04,446.60,433.23,436.30,370.07,32.97
2011-03-18,436.00,439.24,428.42,429.86,104.12,33.74
2011-03-21,434.04,435.74,429.29,430.89,133.0,34.2
2011-03-22,431.82,434.60,428.41,430.32,101.74,29.02
2011-03-23,430.00,436.38,429.01,432.84,100.94,27.35
2011-03-24,435.80,439.78,433.70,438.56,96.4,26.02
2011-03-25,441.40,455.00,440.00,453.01,199.42,27.14
2011-03-28,453.00,462.40,453.00,459.35,250.87,34.92
2011-03-29,462.00,464.76,456.93,461.03,249.89,40.77
2011-03-30,463.00,472.80,461.20,468.30,259.64,44.53
2011-03-31,470.00,479.18,461.02,469.17,445.13,26.57
2011-04-01,470.60,473.00,464.60,466.75,102.01,24.53
2011-04-04,468.00,481.00,468.00,480.16,150.92,23.72
2011-04-05,480.00,481.99,473.63,479.15,201.06,25.24
2011-04-06,478.20,479.00,470.20,475.19,153.48,24.31
2011-04-07,475.00,475.60,467.92,470.95,154.3,23.43
2011-04-08,470.80,477.00,469.02,470.48,182.4,23.07
2011-04-11,465.04,467.51,457.72,459.21,257.69,25.09
2011-04-13,455.89,476.73,455.00,473.79,210.71,23.86
2011-04-15,475.00,478.40,468.80,472.62,203.28,31.27
2011-04-18,475.76,479.97,460.87,462.36,242.93,38.5
2011-04-19,468.00,471.76,464.89,469.50,175.13,33.29
2011-04-20,472.11,477.80,469.60,474.39,154.75,29.8
2011-04-21,476.40,483.38,476.40,482.13,389.84,22.72
2011-04-25,484.60,488.21,477.20,478.20,152.12,27.68
2011-04-26,477.31,479.57,468.10,471.97,149.09,30.47
2011-04-27,475.20,475.80,465.26,470.65,168.17,32.37
2011-04-28,472.63,473.80,466.00,467.55,313.58,25.18
2011-04-29,465.00,467.94,456.20,459.11,213.93,22.3
2011-05-02,461.20,463.14,452.40,458.03,161.19,22.51
2011-05-03,457.71,459.13,444.44,447.13,242.41,24.11
2011-05-04,448.80,457.03,441.56,452.29,298.15,20.19
2011-05-05,451.17,454.96,442.00,444.09,208.62,22.72
2011-05-06,445.00,464.00,445.00,459.45,244.94,19.88
2011-05-09,460.40,463.00,449.68,455.77,88.79,23.12
2011-05-10,455.60,455.60,445.02,449.28,146.95,22.75
2011-05-11,452.00,453.78,444.20,452.21,110.24,22.22
2011-05-12,450.00,452.98,447.00,448.04,106.4,21.99
2011-05-13,446.40,458.00,445.17,450.21,131.85,21.82
2011-05-16,449.00,453.22,447.26,450.61,141.34,29.39
2011-05-17,450.40,454.79,448.20,450.49,138.01,23.98
2011-05-18,451.62,455.54,448.60,453.47,156.96,23.07
2011-05-19,454.10,456.80,451.54,454.76,170.96,23.94
2011-05-20,454.00,464.00,451.08,463.14,273.71,16.41
2011-05-23,459.00,459.76,449.19,452.94,227.59,23.58
2011-05-24,450.80,458.50,449.64,451.06,102.35,25.36
2011-05-25,450.00,453.40,449.07,450.95,93.77,28.27
